Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
71229,-37.86083984,145.2200928,2 Alkira Court,WANTIRNA,3900000,house,2008,4,2,2,SC_067,5066,19871,4210,45,0,hospital_008,1397,S_226,670
88105,-37.944654,145.040812,151 Wickham Road,MOORABBIN,13000000,house,2015,4,2,2,SC_079,499,19872,430,40,0,hospital_110,1339,S_069,499
61358,-37.82123947,145.2213135,16 Keith Grove,RINGWOOD,5600000,house,2008,3,1,1,SC_032,1152,19901,794,41,0,hospital_105,2220,S_040,1223
66686,-37.775771,145.331342,74 GREENSLOPES DRIVE,MOOROOLBARK,5603000,house,2015,3,1,3,SC_084,2489,19877,1943,54,0,hospital_113,2572,S_168,2173
65968,-37.766653,145.313758,2/4 David Drive,MOOROOLBARK,5920000,house,2010,2,1,1,SC_084,947,19877,2017,54,0,hospital_113,3648,S_168,947
27260,-37.5723153,144.9179816,54 Huntington Drive,CRAIGIEBURN,8784000,house,2013,5,2,2,SC_005,333,40221,3972,46,0,hospital_104,8728,S_178,2797
1742,-37.80962753,144.8833771,127 Queensville Street,KINGSVILLE,10200000,house,2008,3,1,0,SC_043,2619,20023,887,19,0,hospital_056,1853,S_201,1623
29286,-37.7702,144.990539,113 St Georges Road,NORTHCOTE,7740000,house,2015,4,1,1,SC_103,3553,20016,419,20,0,hospital_035,1726,S_105,2421
57781,-37.809559,145.141334,2 Springfield Road,BLACKBURN,18000000,house,2015,3,1,1,SC_037,1970,19897,1250,35,0,hospital_154,1954,S_147,2009
18337,-37.672031,144.943581,18 Mortlake Avenue,DALLAS,3360000,house,2014,3,1,3,SC_072,3026,19960,719,39,0,hospital_104,3132,S_153,2047
508,-37.80513763,144.8958435,19 Walter Street,SEDDON,5695000,house,2007,3,1,0,SC_011,3099,19997,431,14,0,hospital_003,1554,S_201,525
71040,-37.861768,145.238243,11 Alderford Drive,WANTIRNA,8880000,house,2013,4,1,2,SC_032,5519,19870,3447,49,0,hospital_179,1664,S_226,1667
52192,-37.8193,144.997801,12 Berry Street,RICHMOND,6000000,house,2010,2,1,1,SC_068,2325,19978,741,7,0,hospital_171,361,S_076,1097
6058,-37.780448,144.811327,11 Norwood Street (Albion),ALBION,4064000,house,2016,3,2,1,SC_102,1968,20004,1217,28,0,hospital_174,1890,S_080,1920
17592,-37.706489,144.931547,68 Glenroy Road,GLENROY,4240000,house,2010,3,1,1,SC_030,3317,20032,1280,32,0,hospital_184,4618,S_004,636
89127,-37.949524,145.014414,10A Vincent Street,SANDRINGHAM,8960000,house,2012,3,2,2,SC_079,2340,19948,869,29,0,hospital_036,1227,S_214,817
65685,-37.789287,145.323407,11 Sheldon Avenue,MOOROOLBARK,5760000,house,2014,3,1,0,SC_084,3565,19877,1092,54,0,hospital_113,4107,S_224,1835
598,-37.80316544,144.9043121,21 Bunbury Street,FOOTSCRAY,8416000,house,2009,2,1,0,SC_011,2537,20025,252,14,0,hospital_003,1807,S_201,616
58675,-37.814785,145.166788,2 Frisina Court,NUNAWADING,5928000,house,2013,3,2,1,SC_002,656,19899,963,36,0,hospital_060,2232,S_202,1311
2625,-37.814674,144.889231,1/61 Castlemaine Street,YARRAVILLE,11475000,house,2016,2,1,0,SC_043,3379,19996,145,15,0,hospital_056,2413,S_201,1732
92898,-37.989489,145.092573,2 Clare Street,PARKDALE,8650000,house,2016,3,1,2,SC_003,2067,19864,1480,42,0,hospital_001,1736,S_003,1480
76512,-37.923545,145.132775,10 Jaguar Drive,CLAYTON,8060000,house,2013,3,1,2,SC_073,5051,19915,1082,38,0,hospital_076,1090,S_169,1271
81134,-37.990126,145.203129,3/19-27 Connell Lane,DANDENONG,2440000,house,2016,2,1,1,SC_112,1101,19888,579,53,0,hospital_119,1497,S_184,1224
75751,-37.897386,145.099078,1488 Dandenong Road,OAKLEIGH,3685000,house,2013,3,1,2,SC_087,1832,19917,1002,33,0,hospital_166,641,S_026,1721
10704,-37.79909,144.927681,6 Altona Street,KENSINGTON,20020000,house,2016,3,2,1,SC_011,2119,20026,201,10,0,hospital_114,551,S_086,1326
63929,-37.796954,145.298817,21 Pascoe Avenue,CROYDON,15930000,house,2012,3,2,2,SC_022,1404,19878,1611,50,0,hospital_164,3988,S_224,1167
50913,-37.780486,145.141357,18 Grover Road,DONCASTER,15210000,house,2013,4,3,2,SC_091,1539,19898,4472,35,0,hospital_194,2434,S_188,1690
94595,-37.908564,145.033816,101 Wheatley Road,MCKINNON,15730000,house,2010,4,2,2,SC_041,3433,19940,439,36,0,hospital_126,1547,S_107,1421
83775,-37.8559715,144.994377,26 McIlwrick Street,WINDSOR,23520000,house,2014,3,2,2,SC_066,968,19957,206,11,0,hospital_063,324,S_115,1302
78216,-37.927792,145.189514,6 Beaconsfield Road,MULGRAVE,8840000,house,2011,4,3,2,SC_073,2417,19891,3963,45,0,hospital_161,2396,S_067,919
84307,-37.856142,144.994153,7 Elm Place,WINDSOR,17920000,house,2014,3,1,0,SC_066,986,19957,186,11,0,hospital_063,344,S_115,1329
69839,-37.86559296,145.0783997,27 Lexia Street,ASHBURTON,14550000,house,2009,3,2,2,SC_042,1743,19847,323,36,0,hospital_098,604,S_112,1353
50927,-37.786379,145.105949,18B High Street,DONCASTER,6501000,house,2013,3,3,2,SC_091,1765,19896,3679,33,0,hospital_194,1665,S_188,1590
29874,-37.77015305,145.0102234,3 Hakatere Street,NORTHCOTE,6075000,house,2008,3,1,2,SC_001,2789,19929,1020,17,0,hospital_035,833,S_105,2202
44006,-37.716531,145.101677,1/187 Elder Street,GREENSBOROUGH,7000000,house,2015,2,1,1,SC_017,5253,19985,1515,38,0,hospital_075,1322,S_020,1325
17173,-37.708817,144.927659,4 Acacia Street,GLENROY,7322000,house,2010,3,2,1,SC_030,3288,20032,1035,32,0,hospital_184,4225,S_209,450
78599,-37.93969345,145.1599731,13 Gove Street,SPRINGVALE,2760000,house,2007,3,1,0,SC_073,4365,19913,1234,43,0,hospital_124,3876,S_075,1701
36345,-37.670782,145.039158,28 Casey Drive,LALOR,6080000,house,2013,3,1,3,SC_062,4604,20006,2012,40,0,hospital_053,2926,S_229,1740
78560,-37.960419,145.155384,12 Elaine Court,SPRINGVALE,18200000,house,2011,4,1,2,SC_057,3926,19891,785,45,0,hospital_124,2326,S_075,840
22863,-37.726999,144.9622,48  Bakers Road,COBURG NORTH,11700000,house,2014,3,1,2,SC_030,1222,19963,680,32,0,hospital_084,3035,S_172,1654
76849,-37.922622,145.108741,42 Scotsburn Avenue,CLAYTON,5782000,house,2011,2,1,0,SC_087,4493,19915,1061,38,0,hospital_076,1043,S_169,943
59919,-37.826812,145.190498,39 Carween Avenue,MITCHAM,9405000,house,2015,3,1,2,SC_088,1272,19900,988,39,0,hospital_010,1848,S_202,1296
28593,-37.806655,144.988333,3/104 Langridge Street,COLLINGWOOD,11850000,house,2010,1,2,1,SC_068,1687,19976,532,10,0,hospital_170,599,S_175,521
78516,-37.938486,145.150688,10 Glendale Road,SPRINGVALE,5616000,house,2016,3,2,2,SC_073,4739,19914,1041,41,0,hospital_076,3233,S_075,1671
49487,-37.812821,145.08649,4/1 Brenbeal Street,BALWYN,10570000,house,2015,2,1,1,SC_099,2812,19894,1292,30,0,hospital_117,2617,S_136,1645
75375,-37.897361,145.052865,66 Miller Street,CARNEGIE,9100000,house,2015,2,1,1,SC_041,1493,19942,1264,32,0,hospital_126,2963,S_015,1121
13734,-37.754689,144.927894,111 Primrose Street,ESSENDON,12325000,house,2015,3,1,3,SC_082,3029,20036,1033,23,0,hospital_128,1684,S_025,1563
37554,-37.651455,145.044134,53 Plowman Court,EPPING,6512000,house,2011,3,2,2,SC_062,3646,20005,1239,43,0,hospital_053,2436,S_096,2640
39957,-37.692453,145.05304,2 Hazelwood Court,BUNDOORA,3760000,house,2011,3,2,2,SC_062,5365,19984,3403,34,0,hospital_041,879,S_155,714
81795,-37.990015,145.249982,141 Doveton Avenue,DOVETON,2480000,house,2012,3,1,1,SC_077,1695,19888,3532,53,0,hospital_119,2775,S_195,1534
86727,-37.9275589,145.0090027,40 Heathfield Road,BRIGHTON EAST,11200000,house,2007,5,1,1,SC_046,2899,19949,1335,27,0,hospital_036,1719,S_088,1219
26147,-37.604072,144.919516,25 Scottsdale Court,CRAIGIEBURN,6225000,house,2015,4,2,2,SC_016,1343,40221,2114,46,0,hospital_104,5191,S_178,1700
63186,-37.77954865,145.3031464,1 Gretel Court,CROYDON,11550000,house,2009,4,3,2,SC_084,2564,19877,999,54,0,hospital_113,4947,S_224,2593
23764,-37.638593,144.905381,7 Cramond Place,GREENVALE,9350000,house,2015,4,2,3,SC_072,2009,40220,2647,42,0,hospital_104,1890,S_211,2077
45504,-37.713952,145.103426,8 McKenzie Court,GREENSBOROUGH,9100000,house,2016,3,1,2,SC_017,5577,19985,1191,38,0,hospital_075,1004,S_020,1072
6262,-37.782725,144.818946,"17 Adelaide Street,(Albion)",ALBION,6064000,house,2012,3,1,2,SC_102,1288,20004,759,28,0,hospital_174,1319,S_080,1251
44629,-37.689633,145.103915,21 Nandaly Court,GREENSBOROUGH,5390000,house,2010,3,2,0,SC_062,4526,19985,1639,38,0,hospital_075,1734,S_210,1504
59518,-37.812548,145.187367,19 Bruce Street,MITCHAM,13600000,house,2015,3,1,1,SC_088,1018,19900,731,39,0,hospital_010,636,S_202,1600
44002,-37.70851,145.099678,1/177 Henry Street,GREENSBOROUGH,6945000,house,2015,3,1,1,SC_017,5932,19985,909,38,0,hospital_075,662,S_020,426
1946,-37.78583,144.871689,2 Hutton Street,MAIDSTONE,5200000,house,2013,3,1,1,SC_043,1249,20022,1680,21,0,hospital_056,1513,S_149,1250
84272,-37.85234,144.987697,65 Raleigh Street,WINDSOR,13420000,house,2013,3,2,0,SC_066,763,19958,367,9,0,hospital_155,705,S_115,1617
25287,-37.61110306,144.9237518,13 BRISTOL MEWS,CRAIGIEBURN,4811000,house,2009,4,2,2,SC_110,2021,40221,2012,46,0,hospital_104,4417,S_005,1977
13987,-37.749467,144.90858,1A Braemar Street,ESSENDON,15440000,house,2014,3,1,2,SC_082,1744,20037,990,20,0,hospital_184,855,S_197,574
40075,-37.696771,145.07725,22 Champion Crescent,BUNDOORA,3840000,house,2010,3,1,2,SC_062,5072,19984,1681,34,0,hospital_041,1392,S_155,1984
68725,-37.848381,145.038147,10 Ethel Street,MALVERN,23850000,house,2012,4,2,2,SC_038,2768,19911,334,14,0,hospital_168,1501,S_235,1544
26735,-37.5966301,144.9308929,4 Alma Street,CRAIGIEBURN,2160000,house,2009,3,2,2,SC_110,808,40221,1239,46,0,hospital_104,6089,S_178,401
29762,-37.761548,144.990176,24 Bird Avenue,NORTHCOTE,15860000,house,2016,2,1,3,SC_103,2656,20015,669,21,0,hospital_035,1562,S_105,1662
46168,-37.722633,145.115013,6 Alexander Street,MONTMORENCY,12480000,house,2016,4,2,2,SC_009,5202,19986,997,40,0,hospital_075,2108,S_020,2392
36270,-37.661895,145.021577,21 Chifley Street,LALOR,4149000,house,2015,3,1,3,SC_062,5747,20006,586,40,0,hospital_053,1233,S_229,585
30684,-37.762823,145.007463,13 Francis Grove,THORNBURY,7248000,house,2010,3,1,1,SC_103,2632,20015,927,21,0,hospital_035,35,S_105,1351
14991,-37.735002,144.923217,13 Loeman Street,STRATHMORE,12075000,house,2015,4,1,0,SC_082,1557,20034,645,27,0,hospital_184,1792,S_197,1544
84425,-37.851891,145.000201,88 Lewisham Road North,PRAHRAN,3520000,house,2012,4,1,1,SC_066,775,19947,830,20,0,hospital_012,333,S_115,618
42161,-37.745149,145.068269,37 Station Road,ROSANNA,1885000,house,2016,3,2,2,SC_017,1182,19936,315,28,0,hospital_066,1261,S_100,1560
46159,-37.72234726,145.122467,58 Coventry Street,MONTMORENCY,6080000,house,2008,3,1,2,SC_009,5520,19986,789,40,0,hospital_075,2410,S_210,2767
67140,-37.74384,145.345803,19 Archer Close,LILYDALE,8550000,house,2016,3,2,2,SC_084,3226,19876,1311,59,0,hospital_151,1364,S_233,1619
71356,-37.852107,145.217961,28 Koomba Road,WANTIRNA,11200000,house,2014,4,2,2,SC_032,4484,19871,3532,45,0,hospital_008,831,S_226,1655
30823,-37.757513,145.014489,166 Flinders Street,THORNBURY,5088000,house,2016,3,2,1,SC_103,2281,20014,1427,23,0,hospital_035,838,S_105,1195
34241,-37.719071,144.988454,20 Hillcroft Street,RESERVOIR,13920000,house,2013,3,1,2,SC_103,2574,20011,1634,29,0,hospital_139,862,S_030,1249
77575,-37.924906,145.186196,17 Notre Dame Parade,MULGRAVE,7020000,house,2014,4,3,2,SC_073,2076,19913,3970,43,0,hospital_161,2813,S_067,1252
69895,-37.8633,145.088778,3 Poulter Street,ASHBURTON,24000000,house,2015,4,2,2,SC_042,1581,19848,670,35,0,hospital_098,344,S_112,560
9890,-37.79109573,144.9306488,1 Smith Street,KENSINGTON,8100000,house,2009,2,1,0,SC_011,1603,20041,299,13,0,hospital_114,392,S_086,500
905,-37.791004,144.883047,35 Summerhill Road,FOOTSCRAY,1530000,house,2013,3,1,1,SC_043,1917,20023,1219,19,0,hospital_056,364,S_201,1705
65290,-37.80805588,145.3029938,3 Natanya Way,KILSYTH,3120000,house,2009,3,2,2,SC_022,2016,19878,2419,50,0,hospital_164,4169,S_224,923
57581,-37.829454,145.141541,12 Orana Street,BLACKBURN,10160000,house,2015,3,1,1,SC_037,2041,19897,968,35,0,hospital_060,1337,S_018,553
40836,-37.69269,145.050031,53 Maroondah Terrace,BUNDOORA,7760000,house,2014,3,1,1,SC_047,5392,20008,3369,36,0,hospital_041,1145,S_155,793
79388,-37.95259,145.158135,8 Ruby Place,SPRINGVALE,6150000,house,2015,4,3,2,SC_057,4663,19913,535,43,0,hospital_124,2727,S_075,581
70914,-37.888572,145.104417,9 Hillcrest Avenue,CHADSTONE,6912000,house,2010,3,1,1,SC_042,1688,19840,1797,27,0,hospital_166,1197,S_026,1763
26933,-37.593805,144.923672,42 Rokeby Crescent,CRAIGIEBURN,6035000,house,2014,3,2,2,SC_016,874,40221,1949,46,0,hospital_104,6340,S_178,911
30994,-37.759652,145.018864,239 Gooch Street,THORNBURY,12000000,house,2016,2,1,1,SC_001,2217,20014,1858,23,0,hospital_035,1035,S_105,1646
76647,-37.92304,145.132072,2 Dooga Street,CLAYTON,12690000,house,2015,3,1,0,SC_073,5087,19915,1029,38,0,hospital_076,1020,S_169,1225
53822,-37.8205719,144.9932098,81 Rowena Parade,RICHMOND,20400000,house,2009,3,2,1,SC_068,1976,19908,473,10,0,hospital_146,317,S_076,1239
9309,-37.847981,144.726431,14 James Cook Drive,TRUGANINA,8060000,house,2012,3,2,1,SC_053,1908,46468,3057,32,0,hospital_073,5255,S_007,2607
18129,-37.668852,144.921955,13 Cooma Court,BROADMEADOWS,2970000,house,2014,3,1,2,SC_072,2015,44817,946,39,0,hospital_104,2025,S_153,1029
710,-37.7992732,144.8962017,250 Barkly Street,FOOTSCRAY,5700000,house,2011,2,1,1,SC_011,2571,20024,550,17,0,hospital_003,1000,S_201,229
69893,-37.861214,145.109722,3 Newbury Ct,ASHWOOD,10068000,house,2011,3,2,2,SC_042,2405,19840,1395,27,0,hospital_089,1432,S_112,1519
94809,-37.913668,145.02542,14 Yawla Street,BENTLEIGH,19840000,house,2014,3,2,2,SC_046,3091,19939,1099,37,0,hospital_126,1548,S_107,1604
85611,-37.882621,145.011274,4 Leslie Street,ELSTERNWICK,8920000,house,2011,3,2,1,SC_023,2866,19954,942,17,0,hospital_079,327,S_193,673
58740,-37.82737732,145.1759796,23 Haros Avenue,NUNAWADING,7085000,house,2008,5,2,2,SC_088,951,19899,760,36,0,hospital_060,1857,S_202,387
2401,-37.818486,144.844797,609 Geelong Road,BROOKLYN,4050000,house,2011,2,1,2,SC_033,928,20022,2671,21,0,hospital_056,4607,S_056,1887
4601,-37.84384155,144.8750458,64 Ford Street,NEWPORT,4895000,house,2009,2,1,1,SC_033,3136,19994,762,20,0,hospital_141,2524,S_056,2685
43876,-37.701763,145.084914,6 Meakin Street,WATSONIA NORTH,4851000,house,2010,3,1,1,SC_062,5576,19984,1028,34,0,hospital_075,1883,S_020,1374
71599,-37.85740662,145.2400055,5 Attenborough Square,WANTIRNA,5408000,house,2008,3,1,2,SC_032,5067,19870,3026,49,0,hospital_179,1410,S_226,2017
59639,-37.824066,145.205642,21 Somers Street,MITCHAM,8190000,house,2014,4,2,0,SC_088,2352,19901,852,41,0,hospital_010,1824,S_040,2439
83311,-37.887864,145.247569,84 Rickards Avenue North,KNOXFIELD,3825000,house,2016,3,1,2,SC_049,5379,19868,4245,55,0,hospital_002,4035,S_027,1815
87304,-37.930472,145.002236,11 Avondale Street,HAMPTON,21560000,house,2010,3,1,2,SC_046,3326,19949,838,27,0,hospital_036,1337,S_088,742
61557,-37.814847,145.214801,21 HILLCREST AVE,RINGWOOD,9197000,house,2016,3,1,0,SC_032,1254,19901,484,41,0,hospital_010,1885,S_040,1269
3137,-37.813681,144.876068,23 Adaleigh Street,YARRAVILLE,9504000,house,2014,3,1,3,SC_043,2571,19996,1243,15,0,hospital_056,2455,S_201,2408
64662,-37.79483,145.257354,559 Maroondah Hwy,CROYDON,5850000,house,2014,3,1,2,SC_022,2312,19879,2009,46,0,hospital_164,1448,S_157,332
18320,-37.691331,144.925958,170 Widford Street,BROADMEADOWS,7008000,house,2010,3,1,2,SC_059,3629,20031,986,34,0,hospital_104,4550,S_153,1522
62214,-37.772786,145.242701,7 Bentley Court,WARRANWOOD,8593000,house,2009,4,2,2,SC_022,4603,19878,4180,50,0,hospital_164,4054,S_157,2929
48424,-37.799229,145.038875,4/12 Park Crescent,KEW,17550000,house,2015,3,2,2,SC_083,2382,19931,2414,21,0,hospital_064,1341,S_039,1008
13771,-37.753021,144.906222,12 Forrester STREET,ESSENDON,4020000,house,2010,2,1,1,SC_082,2120,20037,939,20,0,hospital_184,1198,S_197,1016
53067,-37.81537,145.001812,33 Somerset St,RICHMOND,10560000,house,2011,3,1,1,SC_068,2621,19978,915,7,0,hospital_042,267,S_076,844
54578,-37.826275,145.036664,5 Urquhart Street,HAWTHORN,26040000,house,2012,4,3,2,SC_083,653,19904,536,20,0,hospital_127,226,S_208,710
48725,-37.800606,145.037773,74 Derby Street,KEW,6080000,house,2010,2,1,1,SC_083,2219,19904,2325,20,0,hospital_064,1292,S_039,833
19935,-37.777882,144.939373,23 Manchester Lane,PARKVILLE,12220000,house,2015,3,2,2,SC_011,2104,19971,1142,16,0,hospital_102,543,S_086,1447
13659,-37.75950241,144.8942719,10 Caroline Street,ABERFELDIE,7210000,house,2009,3,1,2,SC_085,1611,20037,1968,20,0,hospital_068,1857,S_049,1588
72250,-37.850676,145.260489,27 Sasses Avenue,BAYSWATER,6930000,house,2014,3,1,2,SC_032,5057,19870,1201,49,0,hospital_002,861,S_139,1026
48898,-37.811,145.075821,10 Austin Street,BALWYN,31650000,house,2015,4,2,1,SC_099,2157,19893,1575,28,0,hospital_064,2433,S_137,2219
66643,-37.7922289,145.3132119,7 Greenville Street,MOOROOLBARK,6555000,house,2012,3,1,2,SC_022,2758,19877,836,54,0,hospital_113,4972,S_224,1132
24946,-37.595836,144.928412,1/95 Dianne Avenue,CRAIGIEBURN,3840000,house,2015,3,1,2,SC_110,1042,40221,1474,46,0,hospital_104,6148,S_178,534
54908,-37.83955002,145.0822907,11 Amelia Street,CAMBERWELL,9700000,house,2008,3,1,2,SC_099,2723,19850,771,31,0,hospital_089,2246,S_160,1114
76883,-37.918459,145.115296,5 Flora Rd,CLAYTON,8415000,house,2011,3,2,1,SC_087,4466,19915,832,38,0,hospital_077,466,S_169,882
40366,-37.714234,145.032372,31  Green Avenue,KINGSBURY,6500000,house,2013,5,2,3,SC_047,2713,20009,2133,33,0,hospital_025,999,S_225,1231
38146,-37.76869583,145.017334,242 Rathmines Street,FAIRFIELD,7450000,house,2009,3,2,2,SC_001,2154,19930,1167,19,0,hospital_035,1054,S_219,2146
60737,-37.845722,145.188082,4 Nowingi Court,VERMONT,9894000,house,2011,3,1,3,SC_088,3032,19899,3027,36,0,hospital_192,2391,S_066,2351
71266,-37.861921,145.235934,2 Wimbourne Court,WANTIRNA,6336000,house,2013,3,2,2,SC_032,5509,19870,3614,49,0,hospital_179,1573,S_226,1471
92718,-37.984815,145.082403,14 Hawke Street,PARKDALE,14160000,house,2016,3,1,1,SC_003,1632,19864,1063,42,0,hospital_001,1059,S_003,467
13856,-37.752758,144.903728,14A Forrester Street,ESSENDON,10030000,house,2014,2,1,2,SC_082,2096,20037,1156,20,0,hospital_184,1170,S_197,1091
31267,-37.75231552,144.9993897,45 Ethel Street,THORNBURY,6160000,house,2008,2,1,2,SC_103,1435,20014,313,23,0,hospital_035,1395,S_105,398
34663,-37.70332718,145.0231171,31 Darebin Boulevard,RESERVOIR,4820000,house,2009,3,1,1,SC_047,3972,20009,1301,33,0,hospital_025,2329,S_225,2453
50415,-37.75884247,145.0876007,82 Helene Street,BULLEEN,5880000,house,2008,2,1,0,SC_009,848,19935,2377,27,0,hospital_004,2284,S_154,903
16055,-37.70536804,144.877594,31 Eumarella Street,TULLAMARINE,4360000,house,2009,3,1,3,SC_010,1277,20032,3491,32,0,hospital_184,4770,S_198,2906
59669,-37.80597687,145.1860657,23 Hedge End Road,MITCHAM,6076000,house,2009,3,1,2,SC_088,1592,19900,1437,39,0,hospital_070,805,S_202,2176
95709,-37.928401,145.033664,4 Coates Street,BENTLEIGH,10413000,house,2014,2,1,2,SC_046,1302,19938,395,39,0,hospital_110,586,S_107,1235
29830,-37.781803,144.999,27 Ross Street,NORTHCOTE,15360000,house,2015,3,1,0,SC_001,4070,19928,133,14,0,hospital_035,2242,S_060,2589
33595,-37.72022,144.991704,10B Kia Ora Road,RESERVOIR,11520000,house,2014,3,2,2,SC_103,2337,20011,1334,29,0,hospital_139,633,S_030,1266
60661,-37.833493,145.194249,3 Carinya Road,VERMONT,6325000,house,2013,3,2,2,SC_088,2037,19900,1735,39,0,hospital_010,2565,S_202,1911
75838,-37.90619,145.106743,18 Greville Street,HUNTINGDALE,15232000,house,2016,3,1,2,SC_087,2966,19916,661,35,0,hospital_166,774,S_169,2433
78024,-37.928327,145.198059,4 Iris Close,MULGRAVE,18900000,house,2015,5,2,2,SC_073,2677,19891,4405,45,0,hospital_161,1748,S_067,1199
67864,-37.842704,145.010306,131 Canterbury Road,TOORAK,19250000,house,2010,3,3,2,SC_038,298,19947,748,20,0,hospital_097,1249,S_102,319
88252,-37.93624496,145.0597076,566 South Road,MOORABBIN,7088000,house,2008,3,1,2,SC_046,1910,19937,2028,38,0,hospital_159,1691,S_069,2176
41204,-37.68544,145.054025,80 Josef Avenue,BUNDOORA,3600000,house,2015,2,2,1,SC_062,4671,20007,3547,38,0,hospital_041,1033,S_155,1478
86661,-37.899427,144.989603,372 St Kilda Street,BRIGHTON,11800000,house,2012,3,1,1,SC_015,3510,19952,1294,20,0,hospital_198,1287,S_151,1555
31348,-37.753188,144.988957,57 Rennie Street,THORNBURY,12988000,house,2011,3,3,1,SC_103,1898,20014,871,23,0,hospital_144,1554,S_105,1313
47916,-37.80105,145.042641,148 Eglinton Street,KEW,12200000,house,2014,3,1,1,SC_083,2249,19904,2337,20,0,hospital_064,986,S_039,1157
1709,-37.78342,144.875451,12 Harry Street,MAIDSTONE,9150000,house,2015,3,1,2,SC_052,1494,20022,2077,21,0,hospital_056,1436,S_049,1663
68987,-37.859721,145.035781,26 Grace Street,MALVERN,27300000,house,2012,4,2,2,SC_023,1937,19944,924,20,0,hospital_157,418,S_235,605
10456,-37.790127,144.92454,36 Export Lane,KENSINGTON,11775000,house,2015,2,1,1,SC_011,1136,20040,500,14,0,hospital_114,714,S_086,441
37886,-37.6501834,145.0247162,Lot 415 High Street,EPPING,4260000,house,2014,4,2,2,SC_062,5360,20005,536,43,0,hospital_053,741,S_196,1877
33095,-37.737648,145.006168,69 Beauchamp Street,PRESTON,9493000,house,2014,3,2,2,SC_103,429,20012,510,27,0,hospital_139,2346,S_084,298
52333,-37.819485,145.000396,14 Lyndhurst Street,RICHMOND,13520000,house,2011,2,1,1,SC_038,2447,19907,824,6,0,hospital_122,291,S_076,1179
63639,-37.803811,145.285515,16/56 Norton Road,CROYDON,4120000,house,2010,3,1,2,SC_022,568,19878,1028,50,0,hospital_164,2668,S_055,461
